district,day,day_part,degree,region,region_code,district_code
GULISTAN,9 MAY,kunduzi,27-32 °C,Sirdaryo viloyati,1724,1724220
GULISTAN,10 MAY,kechasi,15-20 °C,Sirdaryo viloyati,1724,1724220
GULISTAN,10 MAY,kunduzi,30-35 °C,Sirdaryo viloyati,1724,1724220
GULISTAN,11 MAY,kechasi,15-20 °C,Sirdaryo viloyati,1724,1724220
GULISTAN,11 MAY,kunduzi,30-35 °C,Sirdaryo viloyati,1724,1724220
GULISTAN,12 MAY,kechasi,15-20 °C,Sirdaryo viloyati,1724,1724220
QARSHI,9 MAY,kunduzi,27-32 °C,Qashqadaryo viloyati,1710,1710224
QARSHI,10 MAY,kechasi,15-20 °C,Qashqadaryo viloyati,1710,1710224
QARSHI,10 MAY,kunduzi,30-35 °C,Qashqadaryo viloyati,1710,1710224
QARSHI,11 MAY,kechasi,15-20 °C,Qashqadaryo viloyati,1710,1710224
QARSHI,11 MAY,kunduzi,30-35 °C,Qashqadaryo viloyati,1710,1710224
QARSHI,12 MAY,kechasi,15-20 °C,Qashqadaryo viloyati,1710,1710224
TERMEZ,9 MAY,kunduzi,27-32 °C,Surxandaryo viloyati,1722,1722220
TERMEZ,10 MAY,kechasi,15-20 °C,Surxandaryo viloyati,1722,1722220
TERMEZ,10 MAY,kunduzi,30-35 °C,Surxandaryo viloyati,1722,1722220
TERMEZ,11 MAY,kechasi,15-20 °C,Surxandaryo viloyati,1722,1722220
TERMEZ,11 MAY,kunduzi,30-35 °C,Surxandaryo viloyati,1722,1722220
TERMEZ,12 MAY,kechasi,15-20 °C,Surxandaryo viloyati,1722,1722220
FERGANA,9 MAY,kunduzi,27-32 °C,Farg`ona viloyati,1730,1730233
FERGANA,10 MAY,kechasi,15-20 °C,Farg`ona viloyati,1730,1730233
FERGANA,10 MAY,kunduzi,30-35 °C,Farg`ona viloyati,1730,1730233
FERGANA,11 MAY,kechasi,15-20 °C,Farg`ona viloyati,1730,1730233
FERGANA,11 MAY,kunduzi,30-35 °C,Farg`ona viloyati,1730,1730233
FERGANA,12 MAY,kechasi,15-20 °C,Farg`ona viloyati,1730,1730233
NAMANGAN,9 MAY,kunduzi,27-32 °C,Namangan viloyati,1714,1714212
NAMANGAN,10 MAY,kechasi,15-20 °C,Namangan viloyati,1714,1714212
NAMANGAN,10 MAY,kunduzi,30-35 °C,Namangan viloyati,1714,1714212
NAMANGAN,11 MAY,kechasi,15-20 °C,Namangan viloyati,1714,1714212
NAMANGAN,11 MAY,kunduzi,30-35 °C,Namangan viloyati,1714,1714212
NAMANGAN,12 MAY,kechasi,15-20 °C,Namangan viloyati,1714,1714212
ANDIJAN,9 MAY,kunduzi,27-32 °C,Andijon viloyati,1703,1703203
ANDIJAN,10 MAY,kechasi,15-20 °C,Andijon viloyati,1703,1703203
ANDIJAN,10 MAY,kunduzi,30-35 °C,Andijon viloyati,1703,1703203
ANDIJAN,11 MAY,kechasi,15-20 °C,Andijon viloyati,1703,1703203
ANDIJAN,11 MAY,kunduzi,30-35 °C,Andijon viloyati,1703,1703203
ANDIJAN,12 MAY,kechasi,15-20 °C,Andijon viloyati,1703,1703203
NURAFSHON,9 MAY,kunduzi,27-32 °C,Toshkent viloyati,1727,1727206
NURAFSHON,10 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,1727206
NURAFSHON,10 MAY,kunduzi,30-35 °C,Toshkent viloyati,1727,1727206
NURAFSHON,11 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,1727206
NURAFSHON,11 MAY,kunduzi,30-35 °C,Toshkent viloyati,1727,1727206
NURAFSHON,12 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,1727206
KAMCHIK,9 MAY,kunduzi,27-32 °C,Andijon viloyati,1703,NULL
KAMCHIK,10 MAY,kechasi,15-20 °C,Andijon viloyati,1703,NULL
KAMCHIK,10 MAY,kunduzi,30-35 °C,Andijon viloyati,1703,NULL
KAMCHIK,11 MAY,kechasi,15-20 °C,Andijon viloyati,1703,NULL
KAMCHIK,11 MAY,kunduzi,30-35 °C,Andijon viloyati,1703,NULL
KAMCHIK,12 MAY,kechasi,15-20 °C,Andijon viloyati,1703,NULL
CHIMGAN,9 MAY,kunduzi,27-32 °C,Toshkent viloyati,1727,NULL
CHIMGAN,10 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,NULL
CHIMGAN,10 MAY,kunduzi,30-35 °C,Toshkent viloyati,1727,NULL
CHIMGAN,11 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,NULL
CHIMGAN,11 MAY,kunduzi,30-35 °C,Toshkent viloyati,1727,NULL
CHIMGAN,12 MAY,kechasi,15-20 °C,Toshkent viloyati,1727,NULL
